what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error in JSDT Core during AST creation",1431780981457
error,log,,,"Error in JSDT Core during AST creation",1431780981457
error,log,,,"An internal error occurred during: ""Requesting JavaScript AST from selection"".",1431780999881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431780999990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781002876
error,log,,,"An internal error occurred during: ""Requesting JavaScript AST from selection"".",1431781017462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781017525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781019428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1431781034887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431781036089
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1431781042141
error,log,,,"Error in JSDT Core during reconcile",1431781042157
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1431781042204
error,log,,,"Error in JSDT Core during AST creation",1431781042219
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1431781042297
error,log,,,"Error in JSDT Core during AST creation",1431781042297
error,log,,,"An internal error occurred during: ""Requesting JavaScript AST from selection"".",1431781052718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781052749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781055573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431781056899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781058397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781060503
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1431781060534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781060596
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1431781060705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781060768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781061875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781062047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781065120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781066431
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431781068505
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1431781071951
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1431781072092
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1431781072560
activated,perspective,org.eclipse.wst.jsdt.ui,,"org.eclipse.wst.jsdt.ui.JavaPerspective",1431812476196
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1431812476196
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1431812476227
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1431812476461
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1431812476493
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1431812476571
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1431812476680
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1431812476727
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1431812476742
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1431812476851
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1431812476867
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1431812476914
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1431812477054
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1431812477101
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1431812477179
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1431812477210
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1431812477273
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1431812477460
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1431812477585
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1431812477616
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1431812477647
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1431812477694
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1431812477725
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1431812477756
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1431812477803
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1431812477850
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1431812477897
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1431812478006
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1431812478068
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1431812478115
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1431812478177
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1431812478255
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1431812478287
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1431812478380
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1431812478427
